seed	vcfsim_pi
2581	0.00728895
2582	0.00507368
2583	0.0108253
2584	0.00597947
2585	0.00710842
2586	0.01153
2587	0.0101621
2588	0.00216211
2589	0.0115437
2590	0.00806632
2591	0.00441632
2592	0.00853895
2593	0.00631316
2594	0.00481632
2595	0.0101047
2596	0.00815
2597	0.0123547
2598	0.00443684
2599	0.00274737
2600	0.0179632
2601	0.00419263
2602	0.00449947
2603	0.0105795
2604	0.00772684
2605	0.00940947
2606	0.00363526
2607	0.00236947
2608	0.0100932
2609	0.00568105
2610	0.0102453
2611	0.00693316
2612	0.00659263
2613	0.00335211
2614	0.00367632
2615	0.00744895
2616	0.0119626
2617	0.00520737
2618	0.00861
2619	0.00258368
2620	0.00455474
2621	0.00390105
2622	0.00766053
2623	0.00485789
2624	0.00367421
2625	0.00532579
2626	0.00567684
2627	0.00317684
2628	0.00505053
2629	0.00482211
2630	0.00362368
2631	0.00402
2632	0.0104705
2633	0.00412789
2634	0.00957789
2635	0.00431842
2636	0.00373421
2637	0.0225084
2638	0.0143074
2639	0.00692789
2640	0.00328474
2641	0.00562684
2642	0.00315
2643	0.00482474
2644	0.00340421
2645	0.00724474
2646	0.00987895
2647	0.00797211
2648	0.00658053
2649	0.00515
2650	0.00475737
2651	0.00629895
2652	0.00519789
2653	0.00557211
2654	0.00289368
2655	0.00301421
2656	0.00620737
2657	0.00569421
2658	0.00525737
2659	0.00551684
2660	0.00828526
2661	0.00751
2662	0.00413947
2663	0.00553947
2664	0.0152521
2665	0.00564526
2666	0.00558579
2667	0.00395421
2668	0.00498632
2669	0.00312579
2670	0.0102226
2671	0.00695211
2672	0.00339368
2673	0.00278895
2674	0.00600053
2675	0.00440211
2676	0.00806526
2677	0.00530684
2678	0.00609368
2679	0.00700316
2680	0.00400789
2681	0.0105632
2682	0.00511105
2683	0.00556789
2684	0.00843947
2685	0.00245474
2686	0.00712316
2687	0.00617
2688	0.00195526
2689	0.00595105
2690	0.00884368
2691	0.00946211
2692	0.0105937
2693	0.00436316
2694	0.00495684
2695	0.00706632
2696	0.00554842
2697	0.00447789
2698	0.00366842
2699	0.00749316
2700	0.00324842
2701	0.00795684
2702	0.00328632
2703	0.0113068
2704	0.00716474
2705	0.0156158
2706	0.00657842
2707	0.00347421
2708	0.00394368
2709	0.0131816
2710	0.00311737
2711	0.0114553
2712	0.0172905
2713	0.0151353
2714	0.00136579
2715	0.00414158
2716	0.0121711
2717	0.0110768
2718	0.0122363
2719	0.0242947
2720	0.00360158
2721	0.00500421
2722	0.0140995
2723	0.00415
2724	0.00842737
2725	0.00766632
2726	0.00927474
2727	0.00667158
2728	0.00410737
2729	0.00375211
2730	0.00623105
2731	0.00622947
2732	0.00368526
2733	0.00273895
2734	0.00636684
2735	0.00980947
2736	0.00903421
2737	0.00558
2738	0.00273842
2739	0.00585842
2740	0.00730947
2741	0.00737
2742	0.00339842
2743	0.00618421
2744	0.00669789
2745	0.0114816
2746	0.00517211
2747	0.00632211
2748	0.00820895
2749	0.00744789
2750	0.00341632
2751	0.00505789
2752	0.00494526
2753	0.00749421
2754	0.0114468
2755	0.00490105
2756	0.00597211
2757	0.00440895
2758	0.00684211
2759	0.00966789
2760	0.0109632
2761	0.00609737
2762	0.00248632
2763	0.00484211
2764	0.00864789
2765	0.00714579
2766	0.01159
2767	0.00555789
2768	0.00764579
2769	0.0104511
2770	0.00747947
2771	0.00499737
2772	0.00316368
2773	0.00553737
2774	0.00575
2775	0.00808368
2776	0.00487737
2777	0.00821632
2778	0.01186
2779	0.00391
2780	0.00389053
2781	0.00238895
2782	0.00338579
2783	0.00813684
2784	0.00614632
2785	0.00898842
2786	0.00378947
2787	0.00743368
2788	0.00749211
2789	0.0110289
2790	0.00584842
2791	0.00511947
2792	0.00617105
2793	0.00894211
2794	0.00614842
2795	0.00467737
2796	0.00306368
2797	0.00256053
2798	0.0106937
2799	0.0103711
2800	0.00264158
2801	0.00599316
2802	0.00530316
2803	0.00523737
2804	0.00182316
2805	0.00561263
2806	0.00587053
2807	0.00363053
2808	0.00417842
2809	0.00736053
2810	0.00847211
2811	0.00730053
2812	0.00633579
2813	0.00805053
2814	0.00440737
2815	0.00584211
2816	0.00299368
2817	0.00932421
2818	0.0140768
2819	0.00497
2820	0.00587579
2821	0.00262211
2822	0.00522842
2823	0.00234158
2824	0.00353316
2825	0.00996789
2826	0.00461211
2827	0.00890211
2828	0.00237579
2829	0.00740316
2830	0.00375368
2831	0.00350368
2832	0.00400368
2833	0.00561789
2834	0.00365316
2835	0.00733632
2836	0.00975684
2837	0.0100926
2838	0.00694737
2839	0.00765579
2840	0.00501
2841	0.00313421
2842	0.00518789
2843	0.00729632
2844	0.0116763
2845	0.00472105
2846	0.00563737
2847	0.00331684
2848	0.00340579
2849	0.00655737
2850	0.00458632
2851	0.0111674
2852	0.0117395
2853	0.00515263
2854	0.00959316
2855	0.00854579
2856	0.00479053
2857	0.00998632
2858	0.00811632
2859	0.00573526
2860	0.00799053
2861	0.00612789
2862	0.00772474
2863	0.00398053
2864	0.0134889
2865	0.00284737
2866	0.00601211
2867	0.00571789
2868	0.00506053
2869	0.00747
2870	0.00425421
2871	0.0160768
2872	0.00489316
2873	0.00717158
2874	0.00759
2875	0.00677684
2876	0.0107532
2877	0.00394158
2878	0.00543368
2879	0.00854737
2880	0.0025
2881	0.00578211
2882	0.00506211
2883	0.00543947
2884	0.0107205
2885	0.0121926
2886	0.00308211
2887	0.0110621
2888	0.00362895
2889	0.00394053
2890	0.00477053
2891	0.00729
2892	0.00780421
2893	0.00375263
2894	0.0139963
2895	0.00508211
2896	0.00346474
2897	0.00982263
2898	0.00962105
2899	0.00299947
2900	0.00707105
2901	0.00714632
2902	0.00486368
2903	0.00838263
2904	0.00375737
2905	0.0100168
2906	0.00770842
2907	0.00111316
2908	0.00406263
2909	0.00834105
2910	0.00427053
2911	0.00714158
2912	0.00596105
2913	0.00886632
2914	0.00990684
2915	0.00598263
2916	0.0106189
2917	0.00380263
2918	0.00428105
2919	0.00645316
2920	0.0140105
2921	0.00645211
2922	0.00917105
2923	0.00338421
2924	0.0109158
2925	0.00656842
2926	0.00162684
2927	0.00757842
2928	0.00749579
2929	0.0189432
2930	0.0225226
2931	0.00762947
2932	0.00848105
2933	0.00729526
2934	0.00903474
2935	0.0156974
2936	0.00936421
2937	0.0110416
2938	0.01324
2939	0.00303263
2940	0.00487947
2941	0.00751842
2942	0.00550421
2943	0.00650316
2944	0.00772474
2945	0.00383053
2946	0.00877211
2947	0.00555105
2948	0.0192674
2949	0.00423737
2950	0.00373789
2951	0.0150295
2952	0.0142932
2953	0.00318632
2954	0.00506053
2955	0.00544737
2956	0.00713316
2957	0.00399684
2958	0.00327526
2959	0.00989368
2960	0.00379947
2961	0.00491105
2962	0.00570737
2963	0.00435158
2964	0.00558211
2965	0.00560105
2966	0.0161184
2967	0.00828105
2968	0.00695053
2969	0.00484053
2970	0.00818895
2971	0.00624789
2972	0.00450053
2973	0.00493158
2974	0.00496316
2975	0.0065
2976	0.00573316
2977	0.00690421
2978	0.00342579
2979	0.00537105
2980	0.00413211
2981	0.00788211
2982	0.00640053
2983	0.00533368
2984	0.00293579
2985	0.0125753
2986	0.00581895
2987	0.00440737
